66,-0.006320,0.047577,0.047675,0.040137,0.041257,"8,260,080","165,116,000",,
67,-0.001920,0.041243,0.041978,0.036952,0.039323,"6,755,000","143,132,000",,
68,-0.010071,0.039594,0.039594,0.027089,0.029523,"9,710,210","137,412,000",,
69,0.001145,0.029908,0.031869,0.025217,0.031053,"5,825,530","103,796,000",,
70,0.009288,0.031045,0.04175,0.028647,0.040333,"9,953,750","107,741,000",,
71,-0.002056,0.039948,0.040021,0.035976,0.037892,"5,490,620","138,638,000",,
72,-0.006853,0.037649,0.037649,0.028983,0.030796,"4,653,740","130,661,000",,
73,0.000221,0.030888,0.031715,0.029218,0.031109,"2,524,890","107,197,000",,
74,-0.001381,0.030791,0.031601,0.027488,0.02941,"2,373,310","106,860,000",,
75,-0.000745,0.02936,0.030101,0.028196,0.028615,"2,069,680","101,895,000",,
76,-0.000239,0.028675,0.03076,0.027502,0.028436,"2,734,640","99,517,800",,
77,-0.002034,0.028405,0.028545,0.024557,0.026371,"1,880,030","98,578,700",,
78,-0.006594,0.026384,0.026983,0.019745,0.01979,"1,721,860","91,564,300",,
79,0.001896,0.019859,0.022864,0.016075,0.021755,"2,521,070","68,920,100",,
80,-0.000506,0.021943,0.022606,0.019901,0.021437,"1,879,180","76,154,300",,
81,0.000333,0.021466,0.022337,0.020087,0.021799,"1,746,130","74,497,500",,
82,0.007573,0.021719,0.029292,0.021719,0.029292,"3,417,560","75,375,300",,
83,-0.004988,0.029177,0.029177,0.023694,0.024189,"2,937,340","101,259,000",,
84,-0.000338,0.024214,0.024908,0.023272,0.023876,"1,865,680","84,035,200",,
85,-0.002503,0.023768,0.024468,0.020821,0.021265,"1,304,980","82,485,300",,
86,0.000186,0.021156,0.022058,0.020542,0.021342,"1,173,930","73,421,300",,
87,0.001154,0.021333,0.022855,0.021094,0.022487,"869,073","74,034,500",,
88,-0.000556,0.022445,0.022763,0.021711,0.021889,"826,610","77,894,600",,
89,0.001504,0.021839,0.023584,0.021687,0.023343,"781,467","75,790,400",,
90,0.003858,0.023438,0.027928,0.023342,0.027296,"3,457,510","81,342,300",,
91,0.001771,0.027341,0.031716,0.027139,0.029112,"6,734,420","94,886,100",,
92,-0.000513,0.029306,0.030202,0.027878,0.028793,"2,452,520","101,707,000",,
93,-0.001246,0.02876,0.029208,0.026319,0.027514,"1,392,230","99,810,600",,
94,0.003007,0.027612,0.030873,0.027608,0.030619,"1,101,880","95,828,300",,
95,0.000916,0.030651,0.032855,0.029993,0.031567,"2,076,910","106,372,000",,
96,-0.001589,0.031491,0.031589,0.029114,0.029902,"2,272,790","109,290,000",,
97,-0.003036,0.030258,0.031116,0.026206,0.027222,"1,966,990","105,011,000",,
98,0.000195,0.027359,0.028062,0.026588,0.027554,"1,452,180","94,950,300",,
99,0.000003,0.027318,0.027944,0.026278,0.027321,"1,362,430","94,808,200",,
100,0.000947,0.027366,0.028737,0.027366,0.028313,"1,178,510","94,972,600",,
101,-0.001027,0.028265,0.029151,0.026901,0.027238,"1,041,620","98,091,700",,
102,-0.002534,0.027265,0.027417,0.023576,0.024731,"1,529,830","94,621,600",,
103,-0.001815,0.024785,0.024816,0.02209,0.02297,"1,822,000","86,015,200",,
104,0.000447,0.022901,0.02886,0.022054,0.023348,"1,741,170","79,477,600",,
